路测标识,小区ID,纬度,经度,接收电平
KeyNum,CellID,Latitude,Longitude,RxLev
305405,9151,121.148065,41.131638,-96.001859
305406,9151,121.148067,41.13164,-96.004508
305407,9151,121.148069,41.131641,-96.007156
305408,9151,121.14807,41.131643,-96.009804
305409,9151,121.148072,41.131645,-96.012452
305410,9151,121.148074,41.131646,-96.015099
305411,9151,121.148075,41.131648,-96.017745
305412,9151,121.148077,41.13165,-96.020391
305413,9151,121.148079,41.131651,-96.023037
305414,9151,121.14808,41.131653,-96.025682
305415,9151,121.148082,41.131655,-96.028326
305416,9151,121.148084,41.131657,-96.03097
305417,9151,121.148086,41.131658,-96.033614
305418,9151,121.148087,41.13166,-96.036257
305419,9151,121.148089,41.131662,-96.0389
305420,9151,121.148091,41.131663,-96.041542
305421,9151,121.148092,41.131665,-96.044184
305422,9151,121.148094,41.131667,-96.046825
305423,9151,121.148096,41.131668,-96.049466
305424,9151,121.148097,41.13167,-96.052106
305425,9151,121.148099,41.131672,-96.054746
305426,9151,121.148101,41.131674,-96.057386
305427,9151,121.148103,41.131675,-96.060025
305428,9151,121.148104,41.131677,-96.062663
305429,9151,121.148106,41.131679,-96.065301
305430,9151,121.148108,41.13168,-96.067939
305431,9151,121.148109,41.131682,-96.070576
305432,9151,121.148111,41.131684,-96.073213
305433,9151,121.148113,41.131685,-96.075849
305434,9151,121.148114,41.131687,-96.078485
305435,9151,121.148116,41.131689,-96.08112
305436,9151,121.148118,41.131691,-96.083755
305437,9151,121.14812,41.131692,-96.086389
305438,9151,121.148121,41.131694,-96.089023
305439,9151,121.148123,41.131696,-96.091657
305440,9151,121.148125,41.131697,-96.09429
305441,9151,121.148126,41.131699,-96.096922
305442,9151,121.148128,41.131701,-96.099554
305443,9151,121.14813,41.131702,-96.102186
305444,9151,121.148131,41.131704,-96.104817
305445,9151,121.148133,41.131706,-96.107447
305446,9151,121.148135,41.131708,-96.110078
305447,9151,121.148137,41.131709,-96.112707
305448,9151,121.148138,41.131711,-96.115337
305449,9151,121.14814,41.131713,-96.117966
